[20:32:18] [INFO] received Windows console close event; shutting log-core down
[00:39:02] [INFO] received Windows console close event; shutting log-core down
[00:40:49] [INFO] received Windows console close event; shutting log-core down
[00:41:31] [INFO] received Windows console close event; shutting log-core down
[21:45:59] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[21:46:11] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[21:48:01] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[21:49:33] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[21:57:39] [INFO] received Windows console close event; shutting log-core down
[18:29:19] [INFO] received Windows console close event; shutting log-core down
[18:43:03] [INFO] received Windows console close event; shutting log-core down
[18:47:14] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[17:21:53] [INFO] received Windows console close event; shutting log-core down
[17:21:57] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[17:22:01] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[18:11:40] [INFO] received Windows console close event; shutting log-core down
[18:55:05] [INFO] received Windows console close event; shutting log-core down
[02:59:29] [INFO] received Windows console close event; shutting log-core down
[17:46:50] [INFO] received Windows console close event; shutting log-core down
[18:17:21] [INFO] received Windows console close event; shutting log-core down
[01:20:47] [INFO] received Windows console close event; shutting log-core down
[17:42:01] [INFO] received Windows console close event; shutting log-core down
[17:48:28] [INFO] received Windows console close event; shutting log-core down
[17:51:07] [INFO] received Windows console close event; shutting log-core down
[18:12:49] [INFO] received Windows console close event; shutting log-core down
[18:14:09] [INFO] received Windows console close event; shutting log-core down
[18:16:41] [INFO] received Windows console close event; shutting log-core down
[18:17:58] [INFO] received Windows console close event; shutting log-core down
[18:25:05] [INFO] received Windows console close event; shutting log-core down
[18:27:27] [INFO] received Windows console close event; shutting log-core down
[18:36:49] [INFO] received Windows console close event; shutting log-core down
[18:43:19] [INFO] received Windows console close event; shutting log-core down
[18:44:04] [INFO] received Windows console close event; shutting log-core down
[18:45:13] [INFO] received Windows console close event; shutting log-core down
[18:48:01] [INFO] received Windows console close event; shutting log-core down
[18:50:40] [INFO] received Windows console close event; shutting log-core down
[18:54:50] [INFO] received Windows console close event; shutting log-core down
[04:25:53] [INFO] received Windows console close event; shutting log-core down
[04:31:08] [INFO] received Windows console close event; shutting log-core down
[04:40:35] [INFO] received Windows console close event; shutting log-core down
[04:42:16] [INFO] received Windows console close event; shutting log-core down
[04:43:08] [INFO] received Windows console close event; shutting log-core down
[04:57:49] [INFO] received Windows console close event; shutting log-core down
[04:58:35] [INFO] received Windows console close event; shutting log-core down
[01:42:19] [INFO] received Windows console close event; shutting log-core down
[01:43:39] [INFO] received Windows console close event; shutting log-core down
[01:45:41] [INFO] received Windows console close event; shutting log-core down
[01:47:05] [INFO] received Windows console close event; shutting log-core down
[01:53:01] [INFO] received Windows console close event; shutting log-core down
[02:31:10] [INFO] received Windows console close event; shutting log-core down
[02:32:27] [INFO] received Windows console close event; shutting log-core down
[02:37:34] [INFO] received Windows console close event; shutting log-core down
[02:38:06] [INFO] received Windows console close event; shutting log-core down
[02:49:33] [INFO] received Windows console close event; shutting log-core down
[02:56:34] [INFO] received Windows console close event; shutting log-core down
[02:58:17] [INFO] received Windows console close event; shutting log-core down
[03:11:07] [INFO] received Windows console close event; shutting log-core down
[03:13:33] [INFO] received Windows console close event; shutting log-core down
[03:13:59] [INFO] received Windows console close event; shutting log-core down
[03:16:18] [INFO] received Windows console close event; shutting log-core down
[03:17:56] [INFO] received Windows console close event; shutting log-core down
[03:20:27] [INFO] received Windows console close event; shutting log-core down
[03:23:58] [INFO] received Windows console close event; shutting log-core down
[03:43:03] [INFO] received Windows console close event; shutting log-core down
[04:04:22] [INFO] received Windows console close event; shutting log-core down
[04:04:37] [INFO] received Windows console close event; shutting log-core down
[04:07:07] [INFO] received Windows console close event; shutting log-core down
[04:53:05] [INFO] received Windows console close event; shutting log-core down
[04:55:09] [INFO] received Windows console close event; shutting log-core down
[04:57:42] [INFO] received Windows console close event; shutting log-core down
[05:01:47] [INFO] received Windows console close event; shutting log-core down
