[2019/10/19 - 7:54:37] AdmCmd: Arturo Murillo has been prisoned by Majnu, reason: Massive DM[logs]
[2019/10/19 - 9:49:16] AdmCmd: Lawrence Capati has been prisoned by Kray, reason: no 10m
[2019/10/19 - 10:02:45] AdmCmd: Erika Akane has been prisoned by Guzman, reason: Random Shooting.
[2019/10/19 - 10:16:10] AdmCmd: Joe Salvaje has been prisoned by Kray, reason: DM
[2019/10/19 - 10:19:02] AdmCmd: Jassy Antonio has been prisoned by Joe Salvaje, reason: Deathmatch
[2019/10/19 - 13:30:28] AdmCmd: Megumi Matsukaze has been prisoned by Kray, reason: DM
[2019/10/19 - 13:36:55] AdmCmd: Dave Snow has been prisoned by Mcalister, reason: DM
[2019/10/19 - 13:36:58] AdmCmd: Megumi Matsukaze has been prisoned by Mcalister, reason: DM
[2019/10/19 - 13:37:08] AdmCmd: John Scalice has been prisoned by Mcalister, reason: DM
[2019/10/19 - 13:38:40] AdmCmd: Jassy Antonio has been prisoned by Kray, reason: DM
[2019/10/19 - 14:12:46] AdmCmd: Dixon Alcatroz has been prisoned by Mcalister, reason: DM
[2019/10/19 - 21:34:18] AdmCmd: Daniel Cloutz has been prisoned by Chelsya, reason: Deathmatching
[2019/10/19 - 21:34:42] AdmCmd: Lee Hunter has been prisoned by Chelsya, reason: Deathmatching
[2019/10/19 - 21:40:28] AdmCmd: Lee Hunter has been prisoned by Chelsya, reason: Deathmatching (Extended)
[2019/10/19 - 23:27:39] AdmCmd: Joe Capo has been prisoned by Chelsya, reason: Failure to roleplay
[2019/10/20 - 0:04:11] AdmCmd: Tyler_Hunter_Sato has been offline prisoned by Scorpion, reason: Kos
[2019/10/20 - 2:12:44] AdmCmd: Sharkiesha Diesel has been prisoned by Chelsya, reason: Deathmatching
[2019/10/20 - 2:16:14] AdmCmd: Joe Deadson has been prisoned by Chelsya, reason: DM
[2019/10/20 - 2:48:55] AdmCmd: Megumi_Matsukaze has been offline prisoned by Chelsya, reason: DM
[2019/10/20 - 3:50:14] AdmCmd: Megumi Matsukaze has been prisoned by Makaveli, reason: Reduced (Bugged Interior)
[2019/10/20 - 14:18:05] AdmCmd: Ron_Henley has been offline prisoned by Majnu, reason: PG-Chelsya
[2019/10/20 - 19:02:38] AdmCmd: Billy_Mason has been offline prisoned by Scorpion, reason: DM 
[2019/10/21 - 11:21:57] AdmCmd: Mia Khazhifa has been prisoned by Tony, reason: DM
[2019/10/21 - 12:48:08] AdmCmd: Erika Akane has been prisoned by Scorpion, reason: DM
[2019/10/21 - 13:35:30] AdmCmd: Gab Deleon has been prisoned by Nick Mcfellow, reason: DM
[2019/10/21 - 15:59:02] AdmCmd: Nir_Francis has been offline prisoned by Scorpion, reason: DM
[2019/10/21 - 15:59:22] AdmCmd: darvin_kingx has been offline prisoned by Katie, reason: GH
[2019/10/21 - 19:56:44] AdmCmd: Hondo_Zhe_Chan has been offline prisoned by Scorpion, reason: DM
[2019/10/21 - 22:30:19] AdmCmd: Joe Deadson has been prisoned by Scorpion, reason: DM 
[2019/10/23 - 12:10:10] AdmCmd: Jimmy Rio has been prisoned by Bell, reason: DM
[2019/10/23 - 13:14:19] AdmCmd: Megumi_Matsukaze has been offline prisoned by Bell, reason: 10 times DM
[2019/10/24 - 12:30:22] AdmCmd: Erika Akane has been prisoned by Sherlock King Demon, reason: DM
[2019/10/25 - 20:24:09] AdmCmd: Jimmy Rio has been prisoned by Scorpion, reason: DM
[2019/10/25 - 20:38:41] AdmCmd: Dolev_Jordan has been offline prisoned by Scorpion, reason: LTA
[2019/10/26 - 11:57:12] AdmCmd: Isaac Foster has been prisoned by Scorpion, reason: Metagaming + DM
[2019/10/26 - 11:57:21] AdmCmd: Asiah Maiden Rizal has been prisoned by Scorpion, reason: Metagaming + DM
[2019/10/26 - 13:49:02] AdmCmd: Asiah Maiden Rizal has been prisoned by Mcfellow, reason: DM
[2019/10/26 - 14:23:15] AdmCmd: Mike Tyga has been prisoned by Sandra Bell, reason: Sniper DM
[2019/10/26 - 14:35:34] AdmCmd: Carl Ruggiero has been prisoned by Sandra Bell, reason: Deathmatch
[2019/10/26 - 14:35:40] AdmCmd: Mike Lucchese has been prisoned by Sandra Bell, reason: Deathmatch
[2019/10/26 - 14:43:49] AdmCmd: Mike Lucchese has been prisoned by Mcfellow, reason: Sandra Bell; reason DM
[2019/10/26 - 14:44:02] AdmCmd: Carl Ruggiero has been prisoned by Mcfellow, reason: Sandra Bell; reason DM
[2019/10/26 - 15:59:46] AdmCmd: Lean Max has been prisoned by Chelsya Thomas, reason: Logging to Avoid
[2019/10/27 - 11:35:15] AdmCmd: Alberto Rio has been prisoned by Nick Reary, reason: dm
[2019/10/27 - 15:42:09] AdmCmd: Joe_Deadson has been offline prisoned by Chelsya, reason: UNRP Behavior, Powergaming
[2019/10/31 - 13:57:32] AdmCmd: Erika Akane has been prisoned by Fredy, reason: DM
[2019/10/31 - 14:18:10] AdmCmd: Jimmy Rio has been prisoned by Fiona Mccarthy, reason: Deathmatching.
[2019/11/1 - 0:35:19] AdmCmd: Shen Blevis has been prisoned by William, reason: RK+Lying to Administrator
[2019/11/1 - 0:49:04] AdmCmd: Mike Tyga has been prisoned by Scorpion, reason: Sniper DM.
[2019/11/1 - 8:53:22] AdmCmd: Felix Chavez has been prisoned by Danny Cartman, reason: Ninja-Jacking.
[2019/11/1 - 22:42:05] AdmCmd: Sophy Ortodox has been prisoned by Chelsya, reason: dm
